team,w,l,t,pct_total,pf,pa,net pts,home,road,div,pct_div,conf,pct_conf,non-conf,strk,last_five,year
Bills,8,8,0,0.500,379,397,-18,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1W,3 - 2 - 0,2002
Patriots,9,7,0,0.563,381,346,35,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 1 - 0,1W,3 - 2 - 0,2002
Jets,9,7,0,0.563,359,336,23,5 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,3 - 1 - 0,2W,3 - 2 - 0,2002
Dolphins,9,7,0,0.563,378,301,77,7 - 1 - 0,2 - 6 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 2 - 0,2L,2 - 3 - 0,2002
Broncos,9,7,0,0.563,392,344,48,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,4 - 0 - 0,1W,2 - 3 - 0,2002
Chiefs,8,8,0,0.500,467,399,68,6 - 2 - 0,2 - 6 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,2 - 2 - 0,1L,3 - 2 - 0,2002
Chargers,8,8,0,0.500,333,367,-34,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,4L,1 - 4 - 0,2002
Raiders,11,5,0,0.688,450,304,146,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,2W,4 - 1 - 0,2002
Cardinals,4,12,0,0.250,225,452,-227,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0,2003
49ers,7,9,0,0.438,384,337,47,6 - 2 - 0,1 - 7 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,1L,2 - 3 - 0,2003
Seahawks,10,6,0,0.625,404,327,77,8 - 0 - 0,2 - 6 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,2W,3 - 2 - 0,2003
Rams,12,4,0,0.750,447,328,119,8 - 0 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,1L,4 - 1 - 0,2003
Giants,4,12,0,0.250,243,387,-144,1 - 7 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,8L,0 - 5 - 0,2003
Washington,5,11,0,0.313,287,372,-85,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,3L,1 - 4 - 0,2003
Cowboys,10,6,0,0.625,289,260,29,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,1L,2 - 3 - 0,2003
Eagles,12,4,0,0.750,374,287,87,5 - 3 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,1W,4 - 1 - 0,2003
Falcons,5,11,0,0.313,299,422,-123,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2W,3 - 2 - 0,2003
Buccaneers,7,9,0,0.438,301,264,37,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,1 - 3 - 0,2L,2 - 3 - 0,2003
Saints,8,8,0,0.500,340,326,14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 3 - 0,1W,3 - 2 - 0,2003
Panthers,11,5,0,0.688,325,304,21,6 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,2 - 2 - 0,3W,3 - 2 - 0,2003
Lions,5,11,0,0.313,270,379,-109,5 - 3 - 0,0 - 8 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0,2003
Bears,7,9,0,0.438,283,346,-63,6 - 2 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 1 - 0,1L,3 - 2 - 0,2003
Vikings,9,7,0,0.563,416,353,63,6 - 2 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0,2003
Packers,10,6,0,0.625,442,307,135,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,4W,4 - 1 - 0,2003
Chargers,4,12,0,0.250,313,441,-128,2 - 6 - 0,2 - 6 - 0,1 - 5 - 0,0.167,2 - 10 - 0,0.167,2 - 2 - 0,1W,2 - 3 - 0,2003
Raiders,4,12,0,0.250,270,379,-109,4 - 4 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,2L,1 - 4 - 0,2003
Broncos,10,6,0,0.625,381,301,80,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,1 - 3 - 0,1L,4 - 1 - 0,2003
Chiefs,13,3,0,0.813,484,332,152,8 - 0 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1W,3 - 2 - 0,2003
Browns,5,11,0,0.313,254,322,-68,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,2 - 2 - 0,1W,1 - 4 - 0,2003
Steelers,6,10,0,0.375,300,327,-27,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1L,2 - 3 - 0,2003
Bengals,8,8,0,0.500,346,384,-38,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2L,2 - 3 - 0,2003
Ravens,10,6,0,0.625,391,281,110,7 - 1 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,2W,4 - 1 - 0,2003
Texans,5,11,0,0.313,255,380,-125,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,2 - 2 - 0,4L,1 - 4 - 0,2003
Jaguars,5,11,0,0.313,276,331,-55,5 - 3 - 0,0 - 8 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,2 - 2 - 0,1L,3 - 2 - 0,2003
Titans,12,4,0,0.750,435,324,111,7 - 1 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 0 - 0,3W,3 - 2 - 0,2003
Colts,12,4,0,0.750,447,336,111,5 - 3 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,1W,3 - 2 - 0,2003
